アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均ピッチ,最高ピッチ,平均ペース,最高ペース,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,移動時間,経過時間,最低高度,最高高度
トラックラン,2025-12-20 10:36:08,false,"足立区 トラックラン","3,000","156","00:09:28.8","170","186","2.8","183","190","3:10","2:39","--","--","1.75","5.4","9.5","196","--","439","0.0","436","511","1,716","-3","17.0","いいえ","00:00:38.1","8","19.0","00:09:25.1","00:09:28.8","1","3"
トラックラン,2025-12-20 10:27:14,false,"足立区 トラックラン","90","3","00:00:14.1","134","135","0.2","183","200","2:37","2:22","--","2","1.90","5.4","9.7","216","--","--","0.0","526","633","44","--","18.0","いいえ","00:00:14.1","1","19.0","00:00:14","00:00:14.1","3","5"
トラックラン,2025-12-20 10:14:12,false,"足立区 - 1×40×(1′High/30″Low)[–]","1,110","57","00:04:01.7","144","161","1.4","168","179","3:38","3:09","--","5","1.59","6.8","10.6","225","--","381","0.0","383","465","682","-1","22.0","いいえ","00:00:01.7","6","24.0","00:03:59.7","00:04:36.2","0","3"
ラン,2025-12-20 09:54:47,false,"足立区 ラン","1.44","71","00:06:07.6","120","137","1.0","159","170","4:16","3:13","2","--","1.40","7.8","10.9","252","4:25","338","0.0","337","466","988","-3","24.0","いいえ","00:06:07.6","1","26.0","00:06:03","00:18:35","4","8"
ラン,2025-12-19 17:12:28,false,"新宿区 ラン","8.62","529","00:42:04","139","158","3.0","163","174","4:53","3:42","65","55","1.25","8.3","10.2","262","4:53","313","0.0","307","429","6,920","-7","22.0","いいえ","00:42:04","1","27.0","00:41:48","00:47:05","1","30"
ラン,2025-12-17 13:40:58,false,"葛飾区 ラン","2.10","136","00:11:35","134","144","1.5","161","193","5:31","4:35","13","13","1.11","8.8","9.8","274","5:35","271","0.0","270","367","1,872","-2","22.0","いいえ","00:11:35","1","24.0","00:11:33","00:13:29","1","11"
ラン,2025-12-17 13:03:54,false,"葛飾区 - 4×1×(3′High/1′Low/2′High","9.25","556","00:36:00","162","176","3.7","172","192","3:54","2:33","9","9","1.47","7.1","10.2","230","3:54","383","0.0","370","548","6,142","-6","22.0","いいえ","00:00:59.7","24","24.0","00:35:58","00:36:00","-1","5"
ラン,2025-12-17 12:50:09,false,"葛飾区 ラン","1.99","123","00:09:20.1","138","145","2.0","157","169","4:42","3:53","13","4","1.37","8.0","10.8","257","4:34","339","0.0","329","521","1,472","-2","24.0","いいえ","00:09:20.1","1","28.0","00:09:18","00:11:36","3","16"
ラン,2025-12-16 13:30:13,false,"葛飾区 ラン","0.36","22","00:01:59.3","125","145","0.4","106","202","5:32","2:24","--","--","1.65","6.3","8.4","243","5:35","290","0.0","217","590","202","--","20.0","いいえ","00:00:15.3","4","20.0","00:01:34","00:01:59.3","20","22"
ラン,2025-12-16 12:25:31,false,"葛飾区 ラン","12.28","739","00:58:32","139","150","3.1","162","202","4:46","4:14","19","16","1.29","8.3","10.7","263","4:46","318","0.0","318","404","9,512","-11","20.0","いいえ","00:58:32","1","28.0","00:58:30","01:00:11","1","11"
