アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均バイクケイデンス,最高ケイデンス,平均速度,最高速度,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,減圧,ベストラップタイム,ラップ数,平均呼吸数,最小呼吸数,最大呼吸数,移動時間,経過時間
HIIT,2026-02-08 17:03:53,false,"エレプティカル","0.00","201","00:15:05","143","166","2.5","138","236","--","15.2","0.63","5.1","2.8","296","左 50.4%／右 49.6%","118","0.0","87","316","1,740","--","--","-3","いいえ","00:06:10.4","2","39","24","53","00:14:50","00:15:06"
筋力トレーニング,2026-02-08 15:58:20,false,"筋トレ","0.00","80","00:13:21","101","144","0.8","--","--","--","--","--","--","--","--","--","--","0.0","--","--","84","42","1","--","いいえ","00:13:21","1","26","16","37","00:13:21","00:13:48"
筋力トレーニング,2026-02-05 18:11:53,false,"筋トレ","0.00","141","00:18:37","107","148","1.0","--","--","--","--","--","--","--","--","--","--","0.0","--","--","282","141","12","-2","いいえ","00:18:37","1","--","--","--","00:11:21","00:18:37"
筋力トレーニング,2026-02-05 13:09:09,false,"筋トレ","0.00","154","00:13:28","131","164","2.0","--","--","--","--","--","--","--","--","--","--","0.0","--","--","38","19","1","-3","いいえ","00:13:28","1","--","--","--","00:13:28","00:13:28"
筋力トレーニング,2026-02-04 14:43:59,false,"筋トレ","0.00","39","00:03:01.2","137","152","0.8","--","--","--","--","--","--","--","--","--","--","0.0","--","--","274","137","1","--","いいえ","00:03:01.2","1","--","--","--","00:03:01.2","00:03:01.2"
筋力トレーニング,2026-02-03 18:07:29,false,"筋トレ","0.00","90","00:13:41","101","138","0.5","--","--","--","--","--","--","--","--","--","--","0.0","--","--","108","54","6","-1","いいえ","00:13:41","1","--","--","--","00:08:39.2","00:13:41"
筋力トレーニング,2026-02-03 17:51:39,false,"筋トレ","0.00","109","00:12:46","112","163","1.0","--","--","--","--","--","--","--","--","--","--","0.0","--","--","196","98","1","-2","いいえ","00:12:46","1","--","--","--","00:12:46","00:12:46"
筋力トレーニング,2026-01-24 09:59:11,false,"筋トレ","0.00","25","00:02:57.6","109","135","0.2","--","--","--","--","--","--","--","--","--","--","0.0","--","--","42","21","1","-1","いいえ","00:02:57.6","1","--","--","--","00:02:57.6","00:02:57.6"
筋力トレーニング,2026-01-23 10:29:15,false,"筋トレ","0.00","64","00:05:46.8","126","144","1.2","--","--","--","--","--","--","--","--","--","--","0.0","--","--","158","79","1","-2","いいえ","00:05:46.8","1","--","--","--","00:05:46.8","00:05:46.8"
筋力トレーニング,2026-01-14 09:06:31,false,"青トレ","0.00","166","00:13:46","135","160","2.0","--","--","--","--","--","--","--","--","--","--","0.0","--","--","40","20","1","-4","いいえ","00:13:46","1","--","--","--","00:13:46","00:13:46"
筋力トレーニング,2026-01-10 10:07:17,false,"青トレ","0.00","94","00:09:40.7","120","146","1.3","--","--","--","--","--","--","--","--","--","--","0.0","--","--","16","8","1","-2","いいえ","00:09:40.7","1","--","--","--","00:09:40.7","00:09:40.7"
筋力トレーニング,2026-01-04 16:22:02,false,"青トレ","0.00","104","00:12:38","112","154","0.8","--","--","--","--","--","--","--","--","--","--","0.0","--","--","82","41","1","-2","いいえ","00:12:38","1","--","--","--","00:12:38","00:12:38"
筋力トレーニング,2025-12-12 11:02:28,false,"筋トレ","0.00","129","00:24:37","92","136","0.4","--","--","--","--","--","--","--","--","--","--","0.0","--","--","188","94","12","-4","いいえ","00:24:37","1","--","--","--","00:11:32","00:24:37"
