分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:08:29.207,00:08:21.000,1.6,53,17,0:05:18  ,0:05:13  ,0:04:01  ,157.953125,170.0,117.05999755859375,115.0,134.0,31,91
2,00:04:42.083,00:04:42.000,0.99,15,20,0:04:45  ,0:04:45  ,0:04:25  ,165.96875,169.0,128.09000244140626,127.0,132.0,29,58
3,00:04:41.192,00:04:41.000,0.99,26,32,0:04:43  ,0:04:42  ,0:04:30  ,165.75,171.0,128.70999755859376,130.0,136.0,29,58
4,00:04:39.015,00:04:39.000,1,32,36,0:04:38  ,0:04:38  ,0:04:21  ,165.25,169.0,131.2699951171875,134.0,140.0,28,60
5,00:04:39.795,00:04:39.795,1,28,30,0:04:39  ,0:04:39  ,0:04:32  ,164.0,170.0,129.56999511718752,136.0,144.0,28,60
6,00:00:13.516,00:00:13.000,0.05,0,4,0:04:57  ,0:04:46  ,0:04:38  ,162.78125,164.0,128.19000244140625,134.0,136.0,28,3
Summary,00:27:24.808,00:27:15.795,5.63,153,138,0:04:52  ,0:04:50  ,0:04:01  ,163.296875,171.0,125.6300048828125,127.0,144.0,29.27,329
