"ラップ数","タイム","累積時間","距離
m","平均ペース
分／km","Avg GAP
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"14","1:28.0","21:10","400","3:40","--","161","163","0","0","393","6.36","475","7.69","177","187","左 51.3%／右 48.7%","1.58","10.4","6.4","23","18.0","3:09","179","1:28.0","3:40","--","--"
"15","1:28.0","22:38","400","3:40","--","161","163","0","0","402","6.50","488","7.90","177","188","左 51.1%／右 48.9%","1.60","10.4","6.3","23","18.0","3:16","179","1:28","3:40","--","--"
"16","1:27.6","24:06","400","3:39","--","162","165","0","0","410","6.63","516","8.35","178","187","左 51.2%／右 48.8%","1.58","10.3","6.3","23","18.0","3:11","179","1:27.6","3:39","--","--"
"17","1:28.7","25:35","400","3:42","--","162","165","0","0","363","5.87","461","7.46","177","186","左 51.1%／右 48.9%","1.57","10.2","6.3","23","17.0","3:13","179","1:28","3:40","--","--"
"18","1:28.0","27:03","400","3:40","--","161","164","0","0","394","6.38","435","7.04","178","187","左 51.0%／右 49.0%","1.58","10.2","6.2","23","17.0","3:13","179","1:28.0","3:40","--","--"
"19","1:28.1","28:31","400","3:40","--","162","166","0","0","406","6.57","493","7.98","178","185","左 50.8%／右 49.2%","1.59","10.2","6.2","23","17.0","3:11","180","1:28","3:40","--","--"
"20","1:28.2","29:59","400","3:41","--","163","166","0","0","407","6.59","603","9.76","177","188","左 51.0%／右 49.0%","1.58","10.4","6.3","23","17.0","3:19","179","1:28.2","3:41","--","--"
"21","1:24.5","31:23","400","3:31","--","163","165","0","0","402","6.50","536","8.67","180","184","左 51.0%／右 49.0%","1.61","9.9","5.9","22","17.0","3:11","182","1:24","3:30","--","--"
"22","1:25.0","32:48","400","3:32","--","163","165","0","0","391","6.33","476","7.70","180","185","左 51.0%／右 49.0%","1.60","9.8","5.9","22","17.0","3:13","183","1:25.0","3:32","--","--"
"23","1:24.6","34:13","400","3:31","--","164","167","0","0","420","6.80","569","9.21","180","183","左 50.3%／右 49.7%","1.64","9.8","5.8","22","17.0","3:09","183","1:24.6","3:31","--","--"
"24","1:27.0","35:40","400","3:37","--","163","164","0","0","388","6.28","503","8.14","178","185","左 49.8%／右 50.2%","1.59","10.0","6.1","23","17.0","3:26","180","1:27.0","3:37","--","--"
"25","1:26.6","37:07","400","3:36","--","163","165","0","0","370","5.99","452","7.31","176","190","左 50.5%／右 49.5%","1.61","10.3","6.2","23","16.0","3:22","178","1:26","3:35","--","--"
"26","0:01.4","37:08","10","3:36","--","163","163","0","0","430","6.96","440","7.12","175","183","左 50.6%／右 49.4%","1.68","11.5","6.2","1","16.0","3:22","176","0:01","1:40","--","--"
"概要","37:08","37:08","10,010","3:43","--","157","167","0","0","386","6.25","603","9.76","177","190","左 51.1%／右 48.9%","1.56","10.4","6.5","566","18.4","3:09","185","37:04","3:42","--","--"
