分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:00:26.876,00:00:26.000,0.15,11,0,0:02:54  ,0:02:48  ,0:02:37  ,186.703125,197.0,148.08000488281252,135.0,160.0,27,5
2,00:01:18.325,00:01:18.000,0.2,4,4,0:06:23  ,0:06:21  ,0:03:00  ,158.0625,190.0,110.74000244140626,149.0,162.0,27,19
3,00:00:17.157,00:00:17.000,0.11,6,2,0:02:35  ,0:02:34  ,0:02:16  ,201.46875,221.0,149.29000244140624,144.0,158.0,27,4
4,00:00:56.718,00:00:56.718,0.15,2,12,0:06:27  ,0:06:27  ,0:02:25  ,157.765625,205.0,111.60000000000001,156.0,164.0,27,14
5,00:00:20.145,00:00:20.000,0.11,4,0,0:02:57  ,0:02:56  ,0:02:32  ,186.34375,198.0,155.34000244140626,151.0,160.0,27,5
6,00:01:08.550,00:01:08.550,0.12,2,6,0:09:40  ,0:09:40  ,0:02:47  ,119.8125,194.0,102.25,150.0,165.0,27,17
Summary,00:04:27.771,00:04:26.268,0.85,29,24,0:05:16  ,0:05:14  ,0:02:16  ,155.765625,221.0,118.10000000000001,149.0,165.0,27,63
