分割,時間,移動時間,距離,高度上昇,高度下降,平均速度,平均移動速度,最高速度,平均心拍,最大心拍,平均ケイデンス,最高ケイデンス,標準化パワー（NP）,平均パワー,最大パワー,平均気温,カロリー
1,00:20:27.099,00:16:55.000,3.91,140,129,11.46,13.86,33.12,90.0,120.0,--,--,--,--,--,24,105
Summary,00:20:27.099,00:16:55.000,3.91,140,129,11.46,13.86,33.12,90.0,120.0,--,--,--,--,--,24,105
