分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:22.003,00:01:21.000,0.4,0,0,0:03:25  ,0:03:22  ,0:03:08  ,179.359375,182.0,161.70000000000002,135.0,156.0,29,18
2,00:01:21.014,00:01:21.000,0.4,0,0,0:03:22  ,0:03:22  ,0:03:02  ,180.953125,182.0,165.73000488281252,160.0,164.0,29,21
3,00:00:41.126,00:00:41.000,0.2,0,0,0:03:26  ,0:03:25  ,0:03:14  ,180.5625,182.0,164.96999511718752,163.0,165.0,28,11
4,00:00:57.086,00:00:57.000,0.2,0,0,0:04:46  ,0:04:45  ,0:03:22  ,167.75,179.0,144.05,159.0,165.0,28,14
5,00:01:22.922,00:01:22.922,0.4,0,0,0:03:26  ,0:03:27  ,0:03:16  ,181.3125,185.0,149.9199951171875,158.0,164.0,28,21
6,00:01:23.510,00:01:23.000,0.4,0,0,0:03:28  ,0:03:27  ,0:03:18  ,183.015625,187.0,161.08000488281252,165.0,167.0,28,22
7,00:00:40.110,00:00:40.000,0.19,0,0,0:03:28  ,0:03:30  ,0:03:25  ,184.296875,186.0,158.55,166.0,168.0,27,11
8,00:00:58.387,00:00:58.387,0.21,0,0,0:04:44  ,0:04:38  ,0:03:24  ,167.71875,184.0,129.5199951171875,161.0,167.0,27,14
9,00:01:22.521,00:01:22.000,0.4,0,0,0:03:24  ,0:03:25  ,0:03:06  ,183.171875,186.0,153.64000244140627,164.0,168.0,27,22
10,00:01:22.218,00:01:22.000,0.4,0,0,0:03:27  ,0:03:25  ,0:03:13  ,183.421875,186.0,161.60999755859376,168.0,170.0,27,22
11,00:00:40.496,00:00:40.496,0.2,0,0,0:03:25  ,0:03:22  ,0:03:14  ,184.265625,185.0,161.10000000000002,169.0,170.0,27,11
12,00:01:01.352,00:01:01.000,0.2,0,0,0:05:07  ,0:05:05  ,0:03:24  ,165.796875,180.0,124.89000244140625,161.0,170.0,27,15
13,00:01:21.677,00:01:21.677,0.4,0,0,0:03:21  ,0:03:24  ,0:03:05  ,183.78125,186.0,152.04000244140624,165.0,170.0,27,22
14,00:01:22.859,00:01:22.859,0.41,0,0,0:03:22  ,0:03:22  ,0:03:16  ,184.46875,186.0,162.3699951171875,170.0,171.0,27,23
15,00:00:39.614,00:00:39.000,0.19,0,0,0:03:29  ,0:03:25  ,0:03:17  ,181.90625,184.0,162.1699951171875,170.0,171.0,27,11
Summary,00:16:36.895,00:16:33.341,4.6,0,0,0:03:36  ,0:03:35  ,0:03:02  ,179.765625,187.0,154.4199951171875,162.0,171.0,27.59,260
