分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:00:18.152,00:00:18.000,0.1,5,0,0:02:57  ,0:02:56  ,0:02:37  ,164.0625,193.0,175.45999755859376,130.0,146.0,27,3
2,00:01:18.014,00:01:18.000,0.16,11,2,0:08:09  ,0:08:09  ,0:02:41  ,135.3125,195.0,90.45999755859376,141.0,155.0,26,17
3,00:00:18.208,00:00:18.000,0.1,4,0,0:02:57  ,0:02:55  ,0:02:33  ,128.671875,196.0,193.1300048828125,143.0,152.0,26,4
4,00:01:44.335,00:01:30.000,0.17,6,16,0:10:25  ,0:08:59  ,0:02:32  ,91.625,198.0,99.05000000000001,138.0,158.0,26,21
5,00:00:17.479,00:00:17.000,0.1,4,0,0:02:47  ,0:02:43  ,0:02:23  ,171.234375,202.0,169.64000244140627,142.0,152.0,26,4
6,00:01:06.432,00:01:05.000,0.11,7,6,0:09:38  ,0:09:25  ,0:02:27  ,81.640625,202.0,104.40999755859376,150.0,161.0,25,15
Summary,00:05:02.620,00:04:46.000,0.75,38,25,0:06:43  ,0:06:21  ,0:02:23  ,111.53125,202.0,113.59000244140626,141.0,161.0,25.84,65
