アクティビティタイプ,日付,お気に入り,タイトル,距離,カロリー,タイム,平均心拍数,最大心拍数,有酸素トレーニング効果,平均バイクケイデンス,最高ケイデンス,平均速度,最高速度,総上昇量,総下降量,平均歩幅,平均上下動比,平均上下動,平均接地時間,平均GCTバランス,勾配調整後のペース（GAP）平均,Normalized Power® (NP®),Training Stress Score®,平均パワー,最大パワー,ステップ,合計レップ数,合計セット数,Body Battery消費量,最低気温,減圧,ベストラップタイム,ラップ数,最高気温,平均呼吸数,最小呼吸数,最大呼吸数,ストレス変化,ストレス開始,ストレス終了,平均ストレス,最大ストレス,移動時間,経過時間,最低高度,最高高度
Track Running,2026-04-08 19:24:15,false,"1 × 1 × 10000m (Progressive: 4km@3'50" + 4km@3'40" + 2km@3'30")","10,010","566","00:37:08","157","167","3.8","177","185","3:43","3:09","--","--","1.56","6.5","10.4","190","左 51.1%／右 48.9%","--","392","0.0","386","603","6,456","--","--","--","16.0","いいえ","00:00:01.4","26","21.0","29","21","40","--","--","--","--","--","00:37:04","00:37:08","19","23"
Track Running,2026-04-08 19:17:01,false,"松戸市 トラックラン","610","38","00:03:10.1","133","156","0.7","146","222","5:12","2:03","--","--","1.22","8.6","8.9","275","左 51.2%／右 48.8%","--","373","0.0","291","744","442","--","--","-1","20.0","いいえ","00:00:19.7","4","21.0","33","28","39","--","--","--","--","--","00:03:09.1","00:03:10.1","21","23"
Running,2026-04-08 18:43:40,false,"松戸市 ラン","2.62","153","00:13:01","125","142","1.9","161","169","4:58","4:22","17","94","1.24","8.4","10.5","268","--","5:08","292","0.0","283","415","2,116","--","--","-2","24.0","いいえ","00:13:01","1","26.0","--","--","--","--","--","--","--","--","00:13:01","00:13:01","-55","33"
Treadmill Running,2026-04-08 11:24:04,false,"1×4×1000m (3′29″) [1']@TM (1.5%)","3.97","255","00:18:00","152","170","2.9","151","187","4:32","3:22","--","--","1.47","6.3","9.2","210","左 51.9%／右 48.1%","--","326","0.0","275","411","2,656","--","--","-4","--","いいえ","00:00:00.4","9","--","37","26","47","--","--","--","--","--","00:15:23","00:18:00","--","--"
Running,2026-04-08 11:12:54,false,"葛飾区 ラン","0.15","5","00:00:21.2","148","162","0.2","183","211","2:26","2:16","--","--","1.89","5.7","9.6","150","左 51.2%／右 48.8%","2:43","--","0.0","531","648","66","--","--","--","24.0","いいえ","00:00:21.2","1","24.0","28","27","28","--","--","--","--","--","00:00:21","00:00:21.2","45","49"
Running,2026-04-08 11:02:11,false,"葛飾区 ラン","2.04","131","00:10:16","135","156","2.0","161","178","5:02","4:01","38","20","1.28","10.2","12.8","210","左 49.4%／右 50.6%","4:51","356","0.0","338","588","1,646","--","--","-2","25.0","いいえ","00:10:16","1","27.0","32","26","38","--","--","--","--","--","00:10:15","00:10:16","26","48"
Elliptical,2026-04-07 16:36:00,false,"Xトレーナー","0.00","468","00:50:06","122","137","2.1","161","180","--","--","--","--","0.00","--","--","--","--","--","--","0.0","--","--","8,112","--","--","-7","--","いいえ","00:10:00","3","--","34","23","46","--","--","--","--","--","00:00:00","00:50:06","--","--"
Running,2026-04-07 10:34:13,false,"渋谷区 ラン","10.65","652","01:01:36","127","144","2.6","160","172","5:47","3:24","112","149","1.09","10.7","11.7","229","左 50.4%／右 49.6%","5:42","293","0.0","286","464","9,848","--","--","-15","21.0","いいえ","01:01:36","1","31.0","33","14","48","--","--","--","--","--","01:01:20","01:01:36","-8","71"
Running,2026-04-06 11:22:59,false,"渋谷区 ラン","13.19","803","01:13:27","134","159","2.9","162","176","5:34","4:10","511","494","1.11","10.7","11.9","222","左 50.5%／右 49.5%","5:24","314","0.0","299","570","11,864","--","--","-15","27.0","いいえ","00:30:14","2","31.0","32","16","42","--","--","--","--","--","01:13:25","01:13:40","13","65"
Treadmill Running,2026-04-04 17:59:21,false,"1×5×1000m (3′29″) [1']@TM (1.5%)","5.00","314","00:22:30","150","166","2.9","157","219","4:30","3:12","--","--","1.40","6.3","9.1","222","左 51.3%／右 48.7%","--","329","0.0","285","440","3,426","--","--","-4","--","いいえ","00:00:00.2","11","--","32","21","40","--","--","--","--","--","00:20:27","00:22:30","--","--"
Treadmill Running,2026-04-04 17:41:57,false,"トレッドミル","0.90","84","00:06:49.9","129","159","1.2","158","167","7:36","5:31","--","--","0.83","12.4","10.3","264","左 50.9%／右 49.1%","--","214","0.0","198","274","1,076","--","--","-1","--","いいえ","00:06:49.9","1","--","28","21","38","--","--","--","--","--","00:06:49.9","00:06:49.9","--","--"
Running,2026-04-04 11:52:11,false,"松戸市 ラン","1.39","88","00:08:28.7","123","142","0.9","158","167","6:05","5:04","9","20","1.05","9.3","9.7","288","--","6:09","257","0.0","251","339","1,344","--","--","-1","24.0","いいえ","00:02:18.4","2","25.0","--","--","--","--","--","--","--","--","00:08:27.3","00:09:30.8","10","30"
Track Running,2026-04-04 11:11:21,false,"1×1×2000m (6′50″)","2,000","109","00:06:49.0","165","172","2.3","180","184","3:24","3:01","--","--","1.68","5.8","10.1","176","左 50.5%／右 49.5%","--","409","0.0","407","492","1,210","--","--","-2","18.0","いいえ","00:01:20.7","5","20.0","39","35","44","--","--","--","--","--","00:06:48.2","00:06:49.0","20","23"
