分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:21.463,00:01:20.000,0.39,0,5,0:03:26  ,0:03:25  ,0:03:10  ,173.734375,188.0,160.0199951171875,151.0,163.0,26,20
2,00:01:21.303,00:01:21.303,0.4,0,0,0:03:23  ,0:03:23  ,0:03:13  ,180.421875,186.0,159.75,164.0,166.0,26,22
3,00:01:21.799,00:01:21.799,0.4,0,0,0:03:24  ,0:03:24  ,0:03:20  ,180.78125,184.0,158.75,167.0,167.0,25,22
4,00:01:21.571,00:01:21.571,0.4,0,0,0:03:23  ,0:03:23  ,0:03:15  ,180.25,183.0,160.31999511718752,167.0,168.0,25,23
5,00:01:21.700,00:01:21.000,0.4,0,0,0:03:24  ,0:03:22  ,0:03:20  ,180.59375,184.0,160.24000244140626,169.0,170.0,24,22
6,00:01:21.104,00:01:21.104,0.4,0,0,0:03:22  ,0:03:22  ,0:03:11  ,180.78125,183.0,162.90999755859377,169.0,170.0,24,23
7,00:01:22.170,00:01:22.000,0.4,0,0,0:03:25  ,0:03:25  ,0:03:12  ,180.703125,184.0,164.49000244140626,170.0,171.0,24,23
8,00:01:23.668,00:01:23.000,0.4,0,0,0:03:29  ,0:03:27  ,0:03:19  ,179.625,184.0,158.55,170.0,171.0,23,23
9,00:01:25.485,00:01:25.485,0.4,0,0,0:03:33  ,0:03:33  ,0:03:27  ,178.53125,181.0,155.20000000000002,169.0,170.0,23,24
10,00:01:25.523,00:01:25.000,0.4,0,0,0:03:33  ,0:03:32  ,0:03:30  ,178.75,181.0,155.35999755859376,168.0,169.0,23,23
11,00:01:26.202,00:01:26.202,0.4,0,0,0:03:35  ,0:03:35  ,0:03:30  ,177.109375,180.0,155.29000244140627,168.0,169.0,23,24
12,00:01:26.460,00:01:26.000,0.4,0,0,0:03:36  ,0:03:35  ,0:03:17  ,177.65625,181.0,155.65,168.0,169.0,23,24
13,00:01:27.491,00:01:27.491,0.4,0,0,0:03:38  ,0:03:38  ,0:03:21  ,177.265625,179.0,154.0,168.0,169.0,23,24
14,00:01:28.155,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:33  ,175.71875,178.0,153.34000244140626,167.0,168.0,23,24
15,00:01:28.845,00:01:28.845,0.4,0,0,0:03:42  ,0:03:42  ,0:03:35  ,175.3125,179.0,152.7699951171875,167.0,167.0,24,24
16,00:01:31.476,00:01:31.000,0.4,0,0,0:03:48  ,0:03:47  ,0:03:35  ,174.5,178.0,146.7800048828125,166.0,167.0,24,24
17,00:01:44.940,00:01:44.000,0.4,0,0,0:04:22  ,0:04:20  ,0:03:51  ,169.796875,175.0,134.3,163.0,166.0,24,27
Summary,00:24:19.355,00:24:13.800,6.79,0,5,0:03:34  ,0:03:34  ,0:03:10  ,177.578125,188.0,155.3,167.0,171.0,23.92,395
