分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:45:00.534,00:00:00.000,--,--,--,--,--,--,--,--,--,120.0,133.0,--,404
Summary,00:45:00.534,00:00:00.000,--,--,--,--,--,--,--,--,--,120.0,133.0,--,404
