分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:20.766,00:01:19.000,0.4,0,0,0:03:23  ,0:03:17  ,0:03:04  ,181.84375,184.0,161.20999755859376,144.0,159.0,28,18
2,00:01:20.465,00:01:20.465,0.4,0,0,0:03:21  ,0:03:21  ,0:03:17  ,181.46875,183.0,165.85000000000002,162.0,164.0,28,22
3,00:00:42.018,00:00:41.000,0.2,0,0,0:03:30  ,0:03:25  ,0:03:09  ,180.96875,182.0,166.14000244140627,165.0,166.0,27,11
4,00:01:05.538,00:01:05.538,0.2,0,0,0:05:22  ,0:05:27  ,0:03:24  ,165.203125,178.0,120.8699951171875,157.0,166.0,27,16
5,00:01:19.859,00:01:19.859,0.4,0,0,0:03:19  ,0:03:19  ,0:03:05  ,181.75,185.0,163.8800048828125,161.0,167.0,27,21
6,00:01:20.783,00:01:20.783,0.4,0,0,0:03:21  ,0:03:21  ,0:03:15  ,182.765625,184.0,166.6800048828125,169.0,170.0,26,22
7,00:00:41.945,00:00:41.000,0.2,0,0,0:03:33  ,0:03:25  ,0:03:17  ,180.875,184.0,165.40999755859377,170.0,171.0,26,11
8,00:01:15.434,00:01:15.434,0.2,0,0,0:06:13  ,0:06:17  ,0:03:24  ,162.578125,175.0,106.14000244140625,157.0,170.0,26,18
9,00:01:28.036,00:01:28.036,0.4,0,0,0:03:40  ,0:03:40  ,0:03:28  ,174.203125,177.0,154.33000488281252,159.0,165.0,26,23
10,00:01:26.980,00:01:26.980,0.4,0,0,0:03:37  ,0:03:37  ,0:03:30  ,176.328125,179.0,157.73000488281252,166.0,169.0,26,23
11,00:00:43.857,00:00:42.000,0.2,0,0,0:03:40  ,0:03:30  ,0:03:27  ,177.578125,179.0,160.10999755859376,168.0,169.0,26,12
Summary,00:12:45.681,00:12:40.095,3.4,0,0,0:03:45  ,0:03:43  ,0:03:04  ,176.6875,185.0,152.85999755859376,161.0,171.0,26.67,198
