"ラップ数","タイム","累積時間","距離
km","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","3:23.3","3:23.3","1.00","3:23","3:24","127","139","6","0","415","体重なし","483","体重なし","172","206","--","1.68","10.4","6.2","37","20.0","3:04","181","3:20","3:20","--","--"
"2","3:16.6","6:40.0","1.00","3:17","3:18","139","144","0","3","415","体重なし","427","体重なし","177","203","--","1.72","10.4","6.1","40","20.0","3:14","180","3:16.6","3:17","--","--"
"3","3:27.2","10:07","1.00","3:27","3:23","144","146","3","1","421","体重なし","442","体重なし","176","209","--","1.66","10.5","6.3","44","20.0","3:16","179","3:27","3:27","--","--"
"4","3:23.9","13:31","1.00","3:24","3:26","159","169","2","1","413","体重なし","430","体重なし","177","208","--","1.64","10.4","6.3","48","17.0","3:23","181","3:23.9","3:24","--","--"
"5","3:24.6","16:56","1.00","3:25","3:26","167","169","0","5","405","体重なし","413","体重なし","176","207","--","1.67","10.5","6.3","51","19.0","3:21","182","3:24.6","3:25","--","--"
"6","3:30.7","20:26","1.00","3:31","3:31","165","168","0","3","405","体重なし","417","体重なし","175","213","--","1.63","10.6","6.5","53","18.0","3:26","178","3:30","3:30","--","--"
"7","3:35.8","24:02","1.00","3:36","3:35","167","170","4","0","412","体重なし","423","体重なし","175","217","--","1.58","10.5","6.6","55","18.0","3:33","181","3:35.8","3:36","--","--"
"8","3:28.8","27:31","1.00","3:29","3:29","167","168","1","4","405","体重なし","419","体重なし","176","210","--","1.63","10.4","6.4","53","17.0","3:23","180","3:28.8","3:29","--","--"
"9","3:37.3","31:08","1.00","3:37","3:37","167","168","4","0","409","体重なし","422","体重なし","175","218","--","1.57","10.5","6.7","55","16.0","3:35","177","3:37","3:37","--","--"
"10","3:35.0","34:43","1.00","3:35","3:33","168","169","7","0","419","体重なし","450","体重なし","175","216","--","1.58","10.5","6.6","55","15.0","3:33","179","3:35.0","3:35","--","--"
"11","3:35.9","38:19","1.00","3:36","3:33","166","168","3","1","410","体重なし","476","体重なし","175","215","--","1.60","10.5","6.6","54","16.0","3:14","181","3:35.9","3:36","--","--"
"12","3:32.9","41:52","1.00","3:33","3:36","168","170","1","4","402","体重なし","423","体重なし","175","216","--","1.59","10.4","6.6","54","16.0","3:29","179","3:32.9","3:33","--","--"
"13","3:30.9","45:23","1.00","3:31","3:29","172","175","4","4","411","体重なし","483","体重なし","176","211","--","1.62","10.4","6.4","55","16.0","3:26","179","3:30.9","3:31","--","--"
"14","3:32.9","48:56","1.00","3:33","3:31","168","171","5","4","408","体重なし","470","体重なし","175","213","--","1.61","10.5","6.5","54","16.0","3:16","184","3:32.9","3:33","--","--"
"15","3:39.0","52:35","1.00","3:39","3:41","171","176","5","10","394","体重なし","473","体重なし","174","220","--","1.57","10.6","6.7","56","16.0","3:35","176","3:39","3:39","--","--"
"16","3:39.2","56:14","1.00","3:39","3:42","172","175","1","6","394","体重なし","430","体重なし","173","221","--","1.57","10.6","6.8","56","15.0","3:36","176","3:39","3:39","--","--"
"17","3:45.3","59:59","1.00","3:45","3:41","171","174","12","3","416","体重なし","475","体重なし","172","226","--","1.54","10.6","6.9","57","15.0","3:42","176","3:45","3:45","--","--"
"18","3:43.2","1:03:42","1.00","3:43","3:43","173","175","3","2","397","体重なし","452","体重なし","174","222","--","1.55","10.5","6.8","58","14.0","3:31","178","3:43.2","3:43","--","--"
"19","3:42.8","1:07:25","1.00","3:43","3:43","168","171","6","4","402","体重なし","464","体重なし","174","223","--","1.54","10.5","6.8","56","15.0","3:27","181","3:42","3:42","--","--"
"20","3:47.8","1:11:13","1.00","3:48","3:47","168","170","1","4","391","体重なし","418","体重なし","172","226","--","1.54","10.7","6.9","57","15.0","3:35","175","3:47.8","3:48","--","--"
"21","3:54.6","1:15:08","1.00","3:55","3:54","166","170","5","2","389","体重なし","458","体重なし","171","233","--","1.49","10.7","7.2","57","14.0","3:43","175","3:54.6","3:55","--","--"
"22","1:03.2","1:16:11","0.30","3:29","3:44","168","169","0","1","388","体重なし","482","体重なし","173","225","--","1.56","10.6","6.8","16","14.0","2:57","192","1:02","3:25","--","--"
"概要","1:16:11","1:16:11","21.10","3:37","3:35","164","176","75","63","406","体重なし","483","体重なし","174","216","--","1.60","10.5","6.6","1,123","16.5","2:57","192","1:16:04","3:36","--","--"
