分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:07:30.000,00:07:24.000,1.6,--,--,0:04:40  ,0:04:36  ,0:04:29  ,173.296875,177.0,125.3300048828125,143.0,152.0,--,104
2,00:01:30.000,00:00:24.000,0.05,--,--,0:32:40  ,0:08:43  ,0:04:31  ,74.75,175.0,112.50999755859375,125.0,153.0,--,15
3,00:07:30.000,00:07:28.000,1.64,--,--,0:04:34  ,0:04:33  ,0:04:26  ,175.28125,179.0,124.7699951171875,149.0,156.0,--,107
4,00:01:30.000,00:00:13.000,0.02,--,--,1:39:12  ,0:14:19  ,0:04:28  ,54.875,174.0,128.15,128.0,155.0,--,14
5,00:07:30.000,00:07:27.000,1.64,--,--,0:04:34  ,0:04:32  ,0:04:22  ,175.90625,181.0,124.90999755859376,153.0,160.0,--,108
6,00:01:30.000,00:00:28.000,0.03,--,--,0:46:48  ,0:14:34  ,0:04:34  ,58.125,180.0,94.72999877929688,135.0,159.0,--,15
7,00:07:30.000,00:07:25.000,1.62,--,--,0:04:37  ,0:04:34  ,0:04:26  ,174.4375,178.0,124.3800048828125,155.0,161.0,--,110
8,00:01:30.000,00:00:05.000,0.01,--,--,1:49:38  ,0:06:05  ,0:04:31  ,30.203125,174.0,126.80000000000001,137.0,161.0,--,14
9,00:07:30.000,00:07:29.000,1.62,--,--,0:04:38  ,0:04:37  ,0:04:20  ,173.984375,177.0,124.43000488281251,157.0,163.0,--,110
10,00:00:00.856,00:00:00.856,0.01,--,--,0:01:57  ,0:01:57  ,0:04:32  ,176.0,176.0,124.35000000000001,162.0,162.0,--,1
Summary,00:43:30.856,00:38:23.856,10,--,--,0:04:21  ,0:03:50  ,0:04:20  ,158.03125,181.0,124.65999755859376,149.0,163.0,--,599
