分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:22:15.927,00:22:10.000,4.28,178,83,0:05:12  ,0:05:11  ,0:04:12  ,161.0625,172.0,119.55999755859375,127.0,146.0,28,262
2,00:13:14.406,00:13:14.000,2.64,75,79,0:05:01  ,0:05:00  ,0:04:29  ,162.265625,170.0,122.91999511718751,137.0,147.0,26,164
3,00:22:14.408,00:22:10.000,4.21,186,161,0:05:17  ,0:05:16  ,0:03:21  ,161.171875,172.0,117.55000000000001,130.0,146.0,27,250
Summary,00:57:44.741,00:57:34.000,11.12,438,323,0:05:11  ,0:05:10  ,0:03:21  ,161.375,172.0,119.55999755859375,130.0,147.0,27.16,676
