"ラップ数","タイム","累積時間","距離
m","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","1:20.1","1:20.1","400","3:20","--","139","159","0","0","429","6.94","545","8.82","180","179","左 49.9%／右 50.1%","1.66","10.3","5.8","19","22.0","2:53","184","1:20.1","3:20","--","--"
"2","1:22.8","2:42.9","400","3:27","--","161","163","0","0","412","6.67","476","7.70","179","185","左 51.5%／右 48.5%","1.68","10.1","5.8","22","22.0","3:08","181","1:22","3:25","--","--"
"3","1:21.7","4:04.7","400","3:24","--","163","167","0","0","409","6.62","490","7.93","180","184","左 51.4%／右 48.6%","1.69","9.8","5.6","22","21.0","3:16","182","1:21.7","3:24","--","--"
"4","1:21.7","5:26.3","400","3:24","--","166","168","0","0","404","6.54","486","7.86","181","183","左 51.2%／右 48.8%","1.68","9.7","5.6","22","21.0","3:04","182","1:21.7","3:24","--","--"
"5","1:22.4","6:48.7","400","3:26","--","168","169","0","0","400","6.47","464","7.51","181","183","左 51.2%／右 48.8%","1.66","9.7","5.6","22","21.0","3:19","183","1:22","3:25","--","--"
"6","1:53.0","8:41.7","400","4:44","--","157","169","0","0","339","5.49","458","7.41","166","206","左 49.8%／右 50.2%","1.40","11.6","8.0","27","20.0","3:20","171","1:52","4:40","--","--"
"7","1:22.6","10:04","400","3:27","--","163","168","0","0","397","6.42","488","7.90","180","183","左 50.9%／右 49.1%","1.55","10.1","6.3","22","20.0","2:55","183","1:22.6","3:27","--","--"
"8","1:21.6","11:26","400","3:24","--","167","171","0","0","417","6.75","488","7.90","181","182","左 51.3%／右 48.7%","1.67","9.8","5.6","22","20.0","3:00","184","1:21","3:23","--","--"
"9","1:24.3","12:50","400","3:31","--","169","171","0","0","404","6.54","471","7.62","180","183","左 50.9%／右 49.1%","1.68","9.8","5.6","23","20.0","3:03","182","1:24.3","3:31","--","--"
"10","1:21.2","14:11","400","3:23","--","171","173","0","0","411","6.65","477","7.72","181","181","左 51.0%／右 49.0%","1.68","9.7","5.5","22","19.0","3:11","183","1:21","3:23","--","--"
"11","1:22.1","15:33","400","3:25","--","171","174","0","0","410","6.63","485","7.85","181","182","左 51.2%／右 48.8%","1.69","9.6","5.4","23","19.0","3:03","183","1:21","3:23","--","--"
"12","2:03.7","17:37","400","5:12","--","156","171","0","0","307","4.97","475","7.69","164","216","左 50.3%／右 49.7%","1.24","11.6","9.1","28","19.0","3:03","177","2:03.7","5:09","--","--"
"13","1:20.7","18:58","400","3:22","--","163","169","0","0","410","6.63","497","8.04","182","180","左 50.5%／右 49.5%","1.67","9.7","5.7","22","19.0","2:51","185","1:20.7","3:22","--","--"
"14","1:21.5","20:19","400","3:24","--","170","172","0","0","406","6.57","485","7.85","182","179","左 50.4%／右 49.6%","1.67","9.6","5.5","22","19.0","3:10","185","1:21.5","3:24","--","--"
"15","1:22.6","21:42","400","3:27","--","170","172","0","0","399","6.46","465","7.52","182","179","左 50.2%／右 49.8%","1.67","9.6","5.5","22","19.0","3:04","184","1:22","3:25","--","--"
"16","1:23.1","23:05","400","3:28","--","172","173","0","0","399","6.46","467","7.56","182","179","左 50.2%／右 49.8%","1.64","9.5","5.6","23","19.0","3:11","184","1:23.1","3:28","--","--"
"17","1:21.3","24:27","400","3:23","--","172","174","0","0","404","6.54","480","7.77","181","177","左 49.8%／右 50.2%","1.69","9.7","5.5","22","19.0","3:01","183","1:21","3:23","--","--"
"18","0:01.0","24:27","10","3:23","--","171","171","0","0","476","7.70","476","7.70","170","186","左 50.7%／右 49.3%","1.87","12.0","5.8","0","19.0","3:01","170","0:01.0","1:39","--","--"
"概要","24:27","24:27","6,810","3:35","--","164","174","0","0","394","6.38","545","8.82","178","186","左 50.7%／右 49.3%","1.61","10.1","6.1","386","19.9","2:51","185","24:22","3:35","--","--"
