分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:02:08.483,00:02:08.000,0.4,2,9,0:05:21  ,0:05:20  ,0:05:04  ,160.609375,164.0,113.1300048828125,114.0,125.0,29,21
2,00:02:02.720,00:02:02.720,0.4,4,1,0:05:06  ,0:05:06  ,0:04:52  ,160.796875,164.0,122.5,127.0,132.0,29,25
3,00:01:54.344,00:01:54.000,0.4,8,0,0:04:45  ,0:04:45  ,0:04:34  ,162.671875,165.0,127.40999755859376,131.0,136.0,29,24
4,00:01:49.778,00:01:49.778,0.4,3,2,0:04:34  ,0:04:34  ,0:04:26  ,163.671875,166.0,134.83000488281252,136.0,140.0,29,24
5,00:01:49.897,00:01:49.897,0.4,0,14,0:04:34  ,0:04:34  ,0:04:29  ,164.34375,167.0,133.35999755859376,137.0,140.0,28,24
6,00:01:51.139,00:01:51.000,0.4,7,16,0:04:37  ,0:04:37  ,0:04:31  ,165.171875,169.0,131.06999511718752,137.0,143.0,27,23
7,00:01:48.455,00:01:48.455,0.4,5,35,0:04:31  ,0:04:31  ,0:04:23  ,164.9375,169.0,134.45000000000002,141.0,145.0,27,24
8,00:01:47.776,00:01:47.000,0.4,16,6,0:04:29  ,0:04:27  ,0:04:23  ,166.203125,169.0,134.5199951171875,143.0,146.0,27,24
9,00:01:46.876,00:01:46.876,0.4,2,11,0:04:27  ,0:04:27  ,0:04:13  ,165.796875,168.0,136.15,141.0,145.0,27,23
10,00:01:46.410,00:01:46.410,0.4,16,4,0:04:26  ,0:04:26  ,0:04:11  ,166.34375,168.0,136.64000244140627,144.0,149.0,27,25
11,00:02:06.549,00:02:06.000,0.4,7,12,0:05:16  ,0:05:15  ,0:04:34  ,162.828125,166.0,117.85999755859376,137.0,144.0,27,25
12,00:02:02.944,00:02:02.000,0.4,13,9,0:05:07  ,0:05:05  ,0:04:55  ,162.90625,171.0,118.25,132.0,138.0,27,23
13,00:01:55.756,00:01:55.756,0.4,9,6,0:04:49  ,0:04:49  ,0:04:41  ,162.546875,165.0,126.95999755859376,137.0,145.0,27,24
14,00:01:57.674,00:01:56.000,0.4,8,4,0:04:54  ,0:04:50  ,0:04:28  ,161.078125,165.0,126.7,139.0,147.0,27,24
15,00:01:56.493,00:01:56.000,0.4,6,3,0:04:51  ,0:04:50  ,0:04:25  ,161.8125,164.0,128.9,140.0,143.0,26,24
16,00:01:54.570,00:01:54.570,0.4,4,1,0:04:46  ,0:04:46  ,0:04:33  ,161.546875,163.0,130.4800048828125,144.0,147.0,26,25
17,00:02:03.685,00:02:03.685,0.4,5,13,0:05:09  ,0:05:09  ,0:04:44  ,160.671875,163.0,122.30999755859375,141.0,149.0,26,25
18,00:01:58.096,00:01:58.000,0.4,8,1,0:04:55  ,0:04:55  ,0:04:48  ,161.125,163.0,125.99000244140626,142.0,147.0,26,25
19,00:01:59.815,00:01:59.815,0.4,4,10,0:04:59  ,0:04:59  ,0:04:51  ,161.15625,164.0,123.24000244140626,143.0,146.0,26,25
20,00:02:00.234,00:02:00.000,0.4,5,1,0:05:00  ,0:05:00  ,0:04:47  ,161.8125,164.0,125.44000244140625,143.0,146.0,26,25
21,00:02:24.319,00:02:24.000,0.4,28,4,0:06:00  ,0:06:00  ,0:04:59  ,158.53125,161.0,104.7800048828125,128.0,144.0,26,24
22,00:02:18.235,00:02:18.000,0.4,15,9,0:05:45  ,0:05:45  ,0:05:14  ,160.59375,190.0,106.80999755859375,131.0,141.0,25,24
23,00:02:14.601,00:02:14.000,0.4,24,4,0:05:36  ,0:05:35  ,0:04:52  ,158.25,162.0,110.50999755859375,123.0,132.0,25,21
24,00:02:00.178,00:02:00.000,0.4,7,7,0:05:00  ,0:05:00  ,0:04:46  ,160.703125,162.0,124.16999511718751,133.0,141.0,25,23
25,00:01:56.634,00:01:56.634,0.4,12,4,0:04:51  ,0:04:51  ,0:04:47  ,162.65625,164.0,126.49000244140626,141.0,145.0,25,24
26,00:00:02.667,00:00:02.000,0.01,0,0,0:03:34  ,0:02:40  ,0:04:46  ,162.328125,163.0,129.6699951171875,145.0,146.0,25,1
Summary,00:49:38.328,00:49:30.596,10.01,220,186,0:04:57  ,0:04:56  ,0:04:11  ,162.203125,190.0,124.2,136.0,149.0,26.72,599
