"ラップ数","タイム","累積時間","距離
m","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","1:01.0","1:01.0","390","2:37","--","150","161","0","0","586","9.48","696","11.26","197","162","左 52.5%／右 47.5%","1.90","8.0","5.4","14","31.0","2:12","209","0:59","2:31","--","--"
"2","12:14","13:15","430","28:26","--","116","160","0","0","67","1.08","582","9.42","70","539","左 50.3%／右 49.7%","0.67","4.6","6.3","108","31.0","2:36","219","7:13","16:47","--","--"
"3","0:59.3","14:14","410","2:25","--","154","162","0","0","724","11.72","910","14.73","204","155","左 51.5%／右 48.5%","1.98","8.0","4.5","15","32.0","2:17","209","0:59.3","2:25","--","--"
"概要","14:14","14:14","1,230","11:34","--","121","162","0","0","150","2.43","910","14.73","89","405","左 51.0%／右 49.0%","0.91","5.3","6.1","138","31.1","2:12","219","9:11.3","7:28","--","--"
