分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:25:04.467,00:25:03.000,4.45,142,59,0:05:38  ,0:05:37  ,0:02:57  ,162.265625,228.0,110.8699951171875,129.0,143.0,25,291
2,00:15:21.137,00:15:21.000,2.81,49,43,0:05:27  ,0:05:27  ,0:04:47  ,160.953125,167.0,113.8699951171875,135.0,150.0,22,175
3,00:14:32.500,00:14:32.000,2.64,44,41,0:05:30  ,0:05:30  ,0:04:51  ,161.046875,166.0,112.94000244140625,135.0,144.0,22,159
4,00:23:16.997,00:23:15.000,4.11,47,71,0:05:40  ,0:05:39  ,0:03:18  ,161.21875,188.0,111.48000488281251,130.0,146.0,22,242
Summary,01:18:15.101,01:18:11.000,14,281,213,0:05:35  ,0:05:35  ,0:02:57  ,161.46875,228.0,112.0199951171875,132.0,150.0,22.96,867
