分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:10:00.367,00:00:00.000,--,--,--,--,--,--,--,--,--,123.0,135.0,--,112
2,00:40:00.996,00:00:00.000,--,--,--,--,--,--,--,--,--,122.0,133.0,--,365
3,00:10:00.405,00:00:00.000,--,--,--,--,--,--,--,--,--,129.0,136.0,--,97
Summary,01:00:01.768,00:00:00.000,--,--,--,--,--,--,--,--,--,124.0,136.0,--,574
