分割,時間,移動時間,距離,高度上昇,高度下降,平均速度,平均移動速度,最高速度,平均心拍,最大心拍,平均ケイデンス,最高ケイデンス,標準化パワー（NP）,平均パワー,最大パワー,平均気温,カロリー
1,00:22:51.188,00:17:01.000,3.97,231,274,10.42,13.99,27.31,85.0,114.0,--,--,--,--,--,29,90
Summary,00:22:51.188,00:17:01.000,3.97,231,274,10.42,13.99,27.31,85.0,114.0,--,--,--,--,--,29,90
