分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:08:50.408,00:08:48.000,1.66,51,17,0:05:19  ,0:05:18  ,0:03:58  ,159.9375,248.0,117.24000244140626,119.0,135.0,28,97
2,00:04:51.354,00:04:51.354,1.01,12,17,0:04:49  ,0:04:49  ,0:04:22  ,162.203125,166.0,128.6300048828125,130.0,137.0,27,60
3,00:04:45.374,00:04:45.000,1,20,33,0:04:46  ,0:04:46  ,0:04:37  ,161.9375,164.0,129.2199951171875,135.0,141.0,26,59
4,00:04:50.197,00:04:50.000,1,34,48,0:04:49  ,0:04:48  ,0:04:36  ,162.546875,165.0,128.06999511718752,135.0,140.0,25,60
5,00:04:42.307,00:04:42.307,1,26,33,0:04:41  ,0:04:41  ,0:04:34  ,162.828125,167.0,130.80999755859375,138.0,144.0,25,59
Summary,00:27:59.640,00:27:56.661,5.67,143,149,0:04:56  ,0:04:55  ,0:03:58  ,161.59375,248.0,125.39000244140625,130.0,144.0,26.46,335
