"","インターバル","ステップタイプ","ラップ","タイム","累積時間","距離","平均ペース","勾配調整後のペース（GAP）平均","平均心拍数","最大心拍数","総上昇量","総下降量","平均ピッチ","平均接地時間","平均GCTバランス","平均歩幅","平均上下動","平均上下動比","Normalized Power® (NP®)","平均パワー","平均W/kg","最大パワー","最大W/kg","カロリー","平均気温","最高ペース","最高ピッチ","移動時間","平均移動ペース"
"","","ウォームアップ","1 - 2","2:27.4","2:27.4","0.44","5:32","4:44","135","157","49","27","158","214","左 50.1%／右 49.9%","1.13","11.0","10.5","536","394","6.38","884","14.30","29","25.0","2:55","187","2:24","5:24"
"","","ウォームアップ","1","0:40.0","0:40.0","0.21","3:11","2:39","136","157","34","0","177","169","左 50.2%／右 49.8%","1.65","10.2","5.7","800","761","12.31","884","14.30","7","25.0","2:55","187","0:39","3:06"
"","","ウォームアップ","2","1:47.4","2:27.4","0.23","7:38","6:41","135","157","15","27","151","234","左 50.1%／右 49.9%","0.94","11.3","12.3","470","256","4.14","789","12.77","22","25.0","3:01","173","1:47","7:36"
"","1","ラン","3","0:39.9","3:07.4","0.21","3:10","3:19","148","162","24","0","183","173","左 50.3%／右 49.7%","1.59","10.0","6.9","535","634","10.26","798","12.91","10","24.0","3:00","190","0:39","3:06"
"","","回復","4","1:50.7","4:58.1","0.24","7:35","6:57","137","162","8","43","145","254","左 50.5%／右 49.5%","1.02","10.6","10.8","423","193","3.12","686","11.10","22","24.0","3:04","176","1:50","7:32"
"","2","ラン","5","0:37.9","5:36.0","0.23","2:47","2:52","148","165","26","0","194","148","左 51.4%／右 48.6%","1.78","9.5","6.4","547","681","11.02","874","14.14","9","24.0","2:30","199","0:37","2:43"
"","","クールダウン","6","1:21.0","6:57.0","0.12","11:34","9:41","148","165","5","35","113","335","左 51.1%／右 48.9%","0.87","6.8","7.8","499","108","1.75","799","12.93","18","24.0","2:42","187","1:21.0","11:34"
"","概要","--","--","6:57.0","6:57.0","1.24","5:36","5:10","141","165","111","104","151","217","左 50.4%／右 49.6%","1.15","9.8","9.4","504","334","5.40","884","14.30","89","24.4","2:30","199","6:55.5","5:35"
