分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:00:39.172,00:00:39.000,0.2,0,0,0:03:19  ,0:03:14  ,0:03:06  ,176.96875,181.0,170.00999755859377,135.0,144.0,28,8
2,00:01:02.534,00:01:02.000,0.2,0,0,0:05:17  ,0:05:10  ,0:03:04  ,160.890625,179.0,128.81999511718752,145.0,148.0,28,14
3,00:00:36.283,00:00:36.000,0.2,0,0,0:03:06  ,0:03:00  ,0:02:49  ,180.71875,189.0,156.35000000000002,149.0,155.0,28,9
4,00:00:52.649,00:00:52.649,0.2,0,0,0:04:17  ,0:04:23  ,0:02:56  ,167.375,190.0,164.2699951171875,154.0,156.0,28,14
5,00:00:34.170,00:00:34.000,0.2,0,0,0:02:46  ,0:02:50  ,0:02:44  ,187.75,194.0,175.79000244140627,157.0,162.0,28,9
Summary,00:03:44.808,00:03:43.649,1,0,0,0:03:44  ,0:03:43  ,0:02:44  ,172.5625,194.0,156.0199951171875,148.0,162.0,28,54
