分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:08:39.309,00:08:39.000,1.88,30,26,0:04:36  ,0:04:36  ,0:03:12  ,161.625,234.0,131.31999511718752,126.0,143.0,29,102
2,00:00:37.178,00:00:37.000,0.21,2,2,0:03:00  ,0:02:59  ,0:03:00  ,182.4375,188.0,168.7800048828125,149.0,154.0,27,10
3,00:00:17.174,00:00:17.000,0.05,0,2,0:05:17  ,0:05:14  ,0:03:01  ,157.4375,178.0,150.1,154.0,155.0,27,4
Summary,00:09:33.662,00:09:33.000,2.14,32,29,0:04:28  ,0:04:28  ,0:03:00  ,162.828125,234.0,134.3,128.0,155.0,28.81,116
