分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:28.063,00:01:27.000,0.39,0,0,0:03:45  ,0:03:43  ,0:03:33  ,178.546875,183.0,150.3699951171875,131.0,146.0,23,18
2,00:01:27.638,00:01:27.638,0.4,0,0,0:03:39  ,0:03:39  ,0:03:36  ,179.265625,182.0,150.00999755859377,148.0,151.0,23,22
3,00:01:27.502,00:01:27.502,0.4,0,0,0:03:38  ,0:03:38  ,0:03:39  ,179.953125,182.0,149.9300048828125,151.0,154.0,22,22
4,00:01:27.627,00:01:27.000,0.4,0,0,0:03:39  ,0:03:37  ,0:03:41  ,179.515625,182.0,149.1,153.0,155.0,22,22
5,00:01:28.355,00:01:28.355,0.4,0,0,0:03:40  ,0:03:40  ,0:03:42  ,181.296875,183.0,147.31999511718752,154.0,156.0,22,22
6,00:01:27.782,00:01:27.000,0.4,0,0,0:03:39  ,0:03:37  ,0:03:39  ,181.203125,183.0,149.4699951171875,154.0,157.0,22,22
7,00:01:27.806,00:01:27.000,0.4,0,0,0:03:39  ,0:03:37  ,0:03:40  ,180.640625,182.0,149.90999755859374,155.0,157.0,21,22
8,00:01:28.139,00:01:28.139,0.4,0,0,0:03:40  ,0:03:40  ,0:03:39  ,180.421875,182.0,150.75,155.0,158.0,21,22
9,00:01:27.957,00:01:27.957,0.4,0,0,0:03:39  ,0:03:39  ,0:03:38  ,180.1875,183.0,150.94000244140625,157.0,158.0,21,22
10,00:01:27.739,00:01:27.739,0.4,0,0,0:03:39  ,0:03:39  ,0:03:38  ,180.3125,183.0,151.85,157.0,159.0,21,22
11,00:01:27.983,00:01:27.983,0.4,0,0,0:03:39  ,0:03:39  ,0:03:37  ,180.890625,183.0,151.5,156.0,158.0,21,22
12,00:01:26.828,00:01:26.828,0.4,0,0,0:03:37  ,0:03:37  ,0:03:37  ,180.53125,182.0,152.5199951171875,156.0,158.0,21,22
13,00:01:28.079,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:36  ,180.359375,183.0,152.14000244140627,158.0,160.0,21,22
14,00:01:28.157,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:37  ,181.0625,183.0,150.4699951171875,157.0,159.0,20,22
15,00:01:27.562,00:01:27.562,0.4,0,0,0:03:38  ,0:03:38  ,0:03:37  ,180.21875,182.0,151.75,158.0,159.0,20,23
16,00:01:28.032,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:37  ,179.78125,182.0,151.56999511718752,158.0,159.0,20,23
17,00:01:28.251,00:01:27.000,0.4,0,0,0:03:41  ,0:03:37  ,0:03:39  ,179.328125,182.0,151.58000488281252,157.0,159.0,20,22
18,00:01:27.189,00:01:27.189,0.4,0,0,0:03:37  ,0:03:37  ,0:03:38  ,179.3125,181.0,152.55,158.0,159.0,20,23
19,00:01:28.062,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:32  ,179.78125,182.0,154.7800048828125,159.0,161.0,20,23
20,00:01:28.429,00:01:28.429,0.4,0,0,0:03:41  ,0:03:41  ,0:03:37  ,179.015625,180.0,152.95999755859376,159.0,161.0,20,23
21,00:01:27.270,00:01:27.000,0.4,0,0,0:03:38  ,0:03:37  ,0:03:24  ,178.8125,180.0,154.81999511718752,159.0,160.0,20,22
22,00:01:28.342,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:30  ,179.03125,181.0,154.64000244140627,158.0,161.0,20,23
23,00:01:27.484,00:01:27.484,0.4,0,0,0:03:38  ,0:03:38  ,0:03:32  ,178.265625,181.0,156.45000000000002,160.0,162.0,20,23
24,00:01:28.312,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:33  ,178.296875,180.0,154.40999755859377,160.0,161.0,20,23
25,00:01:27.273,00:01:27.000,0.4,0,0,0:03:38  ,0:03:37  ,0:03:33  ,178.984375,181.0,155.7699951171875,160.0,163.0,20,23
26,00:01:27.904,00:01:27.904,0.4,0,0,0:03:39  ,0:03:39  ,0:03:33  ,177.390625,181.0,156.20000000000002,160.0,163.0,19,23
27,00:01:33.892,00:01:33.892,0.4,0,0,0:03:54  ,0:03:54  ,0:03:47  ,171.984375,175.0,150.7199951171875,158.0,160.0,19,24
28,00:01:33.545,00:01:33.545,0.4,0,0,0:03:53  ,0:03:53  ,0:03:48  ,171.28125,173.0,151.58000488281252,158.0,163.0,19,24
29,00:00:50.856,00:00:49.000,0.2,0,0,0:04:10  ,0:04:05  ,0:03:57  ,168.8125,170.0,148.55999755859375,157.0,159.0,19,12
30,00:00:39.914,00:00:39.914,0.05,0,0,0:13:35  ,0:13:18  ,0:04:06  ,124.125,168.0,99.12999877929688,141.0,158.0,19,6
31,00:00:34.923,00:00:34.923,0.15,0,0,0:03:51  ,0:03:52  ,0:03:39  ,166.921875,173.0,141.99000244140626,138.0,149.0,19,6
32,00:01:29.957,00:01:29.957,0.4,0,0,0:03:44  ,0:03:44  ,0:03:43  ,172.46875,175.0,154.49000244140626,154.0,157.0,19,23
33,00:00:01.358,00:00:01.000,0.01,0,0,0:03:44  ,0:01:40  ,0:03:43  ,169.5,171.0,165.10000000000002,156.0,156.0,19,1
Summary,00:44:48.210,00:44:39.940,12,0,0,0:03:44  ,0:03:43  ,0:03:24  ,177.703125,183.0,151.10999755859376,155.0,163.0,20.5,675
