分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:07:57.353,00:07:56.000,1.73,33,22,0:04:36  ,0:04:35  ,0:03:41  ,159.875,169.0,134.14000244140627,136.0,155.0,27,103
Summary,00:07:57.353,00:07:56.000,1.73,33,22,0:04:36  ,0:04:35  ,0:03:41  ,159.875,169.0,134.14000244140627,136.0,155.0,27,103
