分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:08:58.342,00:08:58.000,1.58,27,47,0:05:40  ,0:05:40  ,0:04:04  ,161.03125,173.0,109.2800048828125,112.0,119.0,25,90
2,00:11:25.574,00:11:25.000,2.11,43,59,0:05:24  ,0:05:24  ,0:04:23  ,161.59375,189.0,114.95999755859376,125.0,142.0,23,130
3,00:10:30.333,00:10:28.000,2.07,73,69,0:05:04  ,0:05:03  ,0:04:05  ,164.046875,174.0,119.5199951171875,129.0,143.0,22,122
4,00:10:28.878,00:10:28.878,2.08,60,56,0:05:02  ,0:05:02  ,0:04:11  ,165.796875,182.0,119.89000244140625,134.0,145.0,22,126
5,00:10:30.348,00:10:30.000,2.08,62,63,0:05:03  ,0:05:03  ,0:04:00  ,161.40625,179.0,121.7,136.0,145.0,22,122
Summary,00:51:53.475,00:51:49.878,9.92,265,294,0:05:13  ,0:05:13  ,0:04:00  ,162.8125,189.0,117.25999755859375,128.0,145.0,22.74,591
