分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:03:35.000,00:03:35.000,0.94,--,--,0:03:49  ,0:03:49  ,0:03:32  ,178.125,188.0,146.50999755859377,152.0,164.0,--,50
2,00:00:30.000,00:00:07.000,0.01,--,--,0:39:46  ,0:09:16  ,0:03:48  ,36.53125,181.0,149.94000244140625,157.0,164.0,--,8
3,00:03:35.000,00:03:35.000,0.96,--,--,0:03:44  ,0:03:44  ,0:03:29  ,178.9375,190.0,149.84000244140626,162.0,170.0,--,55
4,00:00:30.000,00:00:09.000,0.01,--,--,0:38:18  ,0:11:29  ,0:03:48  ,35.796875,175.0,178.50999755859377,160.0,168.0,--,8
5,00:03:35.000,00:03:35.000,0.97,--,--,0:03:42  ,0:03:42  ,0:03:28  ,179.5,182.0,150.85999755859376,166.0,172.0,--,56
6,00:00:30.000,00:00:04.000,0.01,--,--,0:43:03  ,0:05:44  ,0:03:40  ,28.96875,178.0,165.1699951171875,165.0,171.0,--,8
7,00:03:35.000,00:03:35.000,0.93,--,--,0:03:51  ,0:03:51  ,0:03:32  ,176.4375,184.0,147.1800048828125,166.0,172.0,--,57
8,00:00:30.000,00:00:03.000,0.01,--,--,0:48:35  ,0:04:51  ,0:03:58  ,24.859375,199.0,163.9,162.0,170.0,--,8
9,00:00:00.566,00:00:00.000,--,--,--,--,--,--,0.0,0.0,--,149.0,149.0,--,--
Summary,00:16:20.566,00:14:43.000,3.84,--,--,0:04:15  ,0:03:50  ,0:03:28  ,160.28125,199.0,149.39000244140627,161.0,172.0,--,249
