"ラップ数","タイム","累積時間","距離
m","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","1:22.4","1:22.4","400","3:28","--","139","162","26","0","399","体重なし","564","体重なし","166","208","--","1.66","10.4","6.3","18","25.0","2:53","188","1:20","3:20","--","--"
"2","1:20.0","2:42.4","400","3:20","--","165","168","0","0","439","体重なし","528","体重なし","177","203","--","1.77","10.4","5.9","22","25.0","3:05","179","1:20.0","3:20","--","--"
"3","1:22.1","4:04.5","400","3:25","--","168","169","0","0","427","体重なし","473","体重なし","177","204","--","1.72","10.5","6.1","23","24.0","3:13","179","1:22","3:25","--","--"
"4","1:21.1","5:25.6","400","3:23","--","169","171","0","0","424","体重なし","467","体重なし","177","203","--","1.69","10.4","6.1","22","24.0","3:18","179","1:21","3:23","--","--"
"5","1:20.6","6:46.2","400","3:22","--","171","172","0","0","425","体重なし","466","体重なし","177","203","--","1.71","10.4","6.1","23","24.0","3:16","179","1:20.6","3:22","--","--"
"6","1:21.1","8:07.2","400","3:23","--","172","173","0","0","427","体重なし","471","体重なし","177","203","--","1.72","10.4","6.1","23","23.0","3:15","179","1:21","3:23","--","--"
"7","1:19.6","9:26.8","400","3:19","--","173","174","0","0","427","体重なし","468","体重なし","177","203","--","1.71","10.4","6.0","22","23.0","3:15","179","1:19","3:18","--","--"
"8","1:20.3","10:47","400","3:21","--","175","176","0","0","429","体重なし","474","体重なし","178","203","--","1.72","10.3","6.0","23","23.0","3:14","179","1:20.3","3:21","--","--"
"9","1:19.5","12:07","400","3:19","--","175","176","0","0","430","体重なし","477","体重なし","178","202","--","1.73","10.3","5.9","23","23.0","3:12","181","1:19","3:18","--","--"
"10","1:21.5","13:28","400","3:24","--","176","176","0","0","431","体重なし","487","体重なし","178","203","--","1.73","10.3","5.9","23","23.0","3:12","179","1:21","3:23","--","--"
"11","1:23.2","14:51","400","3:28","--","173","175","0","0","422","体重なし","463","体重なし","177","204","--","1.68","10.4","6.2","24","22.0","3:16","181","1:23.2","3:28","--","--"
"12","1:22.8","16:14","400","3:27","--","174","177","0","0","419","体重なし","460","体重なし","176","206","--","1.68","10.5","6.3","23","23.0","3:21","179","1:22","3:25","--","--"
"13","1:22.6","17:37","400","3:26","--","175","177","0","0","420","体重なし","461","体重なし","177","205","--","1.68","10.5","6.2","24","23.0","3:20","179","1:22.6","3:26","--","--"
"14","1:22.1","18:59","400","3:25","--","176","177","0","0","422","体重なし","464","体重なし","177","203","--","1.69","10.4","6.2","24","23.0","3:17","184","1:22","3:25","--","--"
"15","1:21.8","20:21","400","3:25","--","177","179","0","0","425","体重なし","470","体重なし","177","203","--","1.70","10.4","6.1","24","23.0","3:16","181","1:21.8","3:25","--","--"
"16","1:22.5","21:43","400","3:26","--","176","178","0","0","423","体重なし","470","体重なし","178","203","--","1.69","10.4","6.1","24","23.0","3:17","179","1:22","3:25","--","--"
"17","1:22.2","23:05","400","3:25","--","177","179","0","0","425","体重なし","468","体重なし","177","203","--","1.70","10.4","6.1","24","23.0","3:17","181","1:22.2","3:25","--","--"
"18","1:22.7","24:28","400","3:27","--","176","179","0","0","424","体重なし","504","体重なし","176","205","--","1.70","10.6","6.2","24","23.0","3:16","177","1:22","3:25","--","--"
"19","1:23.2","25:51","400","3:28","--","177","178","0","0","424","体重なし","466","体重なし","176","205","--","1.69","10.6","6.2","24","23.0","3:19","177","1:23.2","3:28","--","--"
"20","1:21.9","27:13","400","3:25","--","178","180","0","0","424","体重なし","465","体重なし","176","204","--","1.70","10.5","6.2","24","23.0","3:17","179","1:21","3:23","--","--"
"21","1:23.2","28:36","400","3:28","--","178","179","0","0","426","体重なし","474","体重なし","176","205","--","1.71","10.6","6.2","24","23.0","3:17","177","1:23.2","3:28","--","--"
"22","1:22.9","29:59","400","3:27","--","179","180","0","0","422","体重なし","475","体重なし","176","205","--","1.69","10.5","6.2","24","23.0","3:19","179","1:22","3:25","--","--"
"23","1:24.3","31:23","400","3:31","--","179","180","0","0","422","体重なし","462","体重なし","175","207","--","1.69","10.7","6.3","25","23.0","3:20","177","1:24.3","3:31","--","--"
"24","1:23.7","32:47","400","3:29","--","179","181","0","0","422","体重なし","464","体重なし","175","209","--","1.68","10.7","6.3","24","23.0","3:16","188","1:23","3:27","--","--"
"25","1:13.7","34:01","400","3:04","--","180","181","0","0","446","体重なし","511","体重なし","183","199","--","1.73","9.8","5.7","22","23.0","2:42","198","1:13.7","3:04","--","--"
"26","0:01.2","34:02","10","3:04","--","181","181","0","0","486","体重なし","486","体重なし","192","190","--","1.84","8.7","4.7","0","23.0","2:42","192","0:01","1:40","--","--"
"概要","34:02","34:02","10,010","3:24","--","173","181","26","0","425","体重なし","564","体重なし","177","204","--","1.70","10.4","6.1","579","23.2","2:42","198","33:53","3:23","--","--"
