分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:32.270,00:01:32.270,0.4,13,5,0:03:50  ,0:03:50  ,0:03:32  ,168.21875,170.0,153.6800048828125,143.0,150.0,27,22
2,00:01:29.919,00:01:29.919,0.4,0,10,0:03:44  ,0:03:44  ,0:03:36  ,170.0,171.0,157.09000244140626,150.0,153.0,26,22
3,00:01:27.646,00:01:27.646,0.4,4,10,0:03:39  ,0:03:39  ,0:03:34  ,171.203125,173.0,159.30999755859375,154.0,156.0,26,22
4,00:01:09.808,00:01:09.000,0.31,10,1,0:03:42  ,0:03:39  ,0:03:34  ,171.609375,173.0,159.9300048828125,157.0,160.0,26,18
5,00:01:28.873,00:01:28.873,0.4,6,23,0:03:42  ,0:03:42  ,0:03:39  ,170.40625,172.0,158.33000488281252,157.0,161.0,25,23
6,00:01:29.485,00:01:29.000,0.4,6,12,0:03:43  ,0:03:42  ,0:03:42  ,170.734375,173.0,157.1300048828125,158.0,162.0,25,23
7,00:01:24.313,00:01:24.000,0.4,4,15,0:03:30  ,0:03:30  ,0:03:28  ,172.0625,174.0,163.9300048828125,163.0,168.0,25,22
8,00:01:08.354,00:01:08.000,0.31,7,3,0:03:40  ,0:03:39  ,0:03:28  ,171.984375,173.0,162.2800048828125,161.0,163.0,25,18
9,00:01:27.653,00:01:27.653,0.4,11,17,0:03:39  ,0:03:39  ,0:03:30  ,170.625,172.0,160.10000000000002,160.0,162.0,25,23
10,00:01:28.436,00:01:28.436,0.4,2,11,0:03:41  ,0:03:41  ,0:03:37  ,170.703125,173.0,159.8699951171875,160.0,162.0,25,23
11,00:01:27.057,00:01:27.000,0.4,7,13,0:03:37  ,0:03:37  ,0:03:36  ,171.03125,172.0,160.04000244140627,160.0,162.0,25,22
12,00:01:10.083,00:01:09.000,0.31,13,5,0:03:45  ,0:03:42  ,0:03:35  ,171.453125,173.0,158.54000244140627,160.0,163.0,25,18
13,00:01:26.697,00:01:26.697,0.4,13,21,0:03:36  ,0:03:36  ,0:03:27  ,172.515625,175.0,159.90999755859377,161.0,163.0,25,23
14,00:01:28.602,00:01:28.000,0.4,8,9,0:03:41  ,0:03:39  ,0:03:38  ,172.109375,173.0,158.14000244140627,162.0,163.0,25,23
15,00:01:27.395,00:01:27.395,0.4,11,15,0:03:38  ,0:03:38  ,0:03:38  ,171.765625,174.0,159.34000244140626,161.0,163.0,25,23
16,00:01:10.397,00:01:09.000,0.31,16,7,0:03:46  ,0:03:42  ,0:03:36  ,170.953125,173.0,158.46999511718752,161.0,164.0,25,18
17,00:01:26.347,00:01:26.347,0.4,4,17,0:03:35  ,0:03:35  ,0:03:26  ,171.375,173.0,161.08000488281252,162.0,164.0,25,23
18,00:01:26.584,00:01:26.584,0.4,1,8,0:03:36  ,0:03:36  ,0:03:30  ,173.046875,175.0,160.6199951171875,163.0,165.0,25,23
19,00:01:27.199,00:01:27.000,0.4,21,12,0:03:38  ,0:03:37  ,0:03:37  ,173.296875,175.0,158.70000000000002,164.0,166.0,25,23
20,00:01:08.757,00:01:08.000,0.32,9,8,0:03:33  ,0:03:30  ,0:03:30  ,173.90625,176.0,162.06999511718752,165.0,166.0,25,18
Summary,00:27:45.875,00:27:39.820,7.57,165,223,0:03:40  ,0:03:39  ,0:03:26  ,171.40625,176.0,159.34000244140626,159.0,168.0,25.26,427
