分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:05:08.515,00:05:08.515,1,23,11,0:05:08  ,0:05:08  ,0:04:32  ,160.921875,165.0,121.14000244140625,125.0,132.0,29,61
2,00:04:58.211,00:04:58.000,1,19,45,0:04:58  ,0:04:58  ,0:04:38  ,162.421875,167.0,124.2,132.0,139.0,29,61
3,00:04:56.057,00:04:56.000,1,25,20,0:04:56  ,0:04:56  ,0:04:42  ,163.234375,167.0,124.25999755859375,136.0,142.0,29,63
4,00:04:54.506,00:04:54.506,1,37,33,0:04:54  ,0:04:54  ,0:04:41  ,163.578125,168.0,125.05999755859375,138.0,144.0,29,64
5,00:05:09.139,00:05:08.000,1,58,29,0:05:09  ,0:05:08  ,0:04:41  ,160.390625,169.0,119.5800048828125,131.0,139.0,29,61
6,00:05:05.082,00:05:05.000,1,43,62,0:05:05  ,0:05:05  ,0:04:50  ,162.5,167.0,120.71999511718751,135.0,138.0,29,61
7,00:05:01.077,00:05:01.000,1,52,39,0:05:01  ,0:05:01  ,0:04:23  ,163.015625,168.0,121.8800048828125,138.0,147.0,29,62
8,00:05:02.880,00:05:02.880,1,48,48,0:05:02  ,0:05:02  ,0:04:25  ,162.8125,167.0,122.4,140.0,148.0,30,63
9,00:05:00.504,00:05:00.000,1,32,45,0:05:00  ,0:05:00  ,0:04:48  ,163.796875,170.0,121.19000244140625,137.0,141.0,29,60
10,00:05:09.183,00:05:09.000,1,42,35,0:05:09  ,0:05:09  ,0:04:44  ,162.5625,167.0,119.69000244140625,137.0,146.0,29,61
11,00:04:59.600,00:04:59.600,1,46,32,0:04:59  ,0:04:59  ,0:04:25  ,163.1875,167.0,122.39000244140625,139.0,144.0,30,61
12,00:05:09.898,00:05:09.898,1,45,48,0:05:09  ,0:05:09  ,0:04:47  ,163.265625,167.0,118.2,136.0,141.0,29,58
13,00:05:04.395,00:05:04.000,1,41,45,0:05:04  ,0:05:04  ,0:04:44  ,163.390625,167.0,119.95,136.0,143.0,30,58
14,00:05:01.246,00:05:01.000,1,40,41,0:05:01  ,0:05:01  ,0:04:28  ,163.5625,167.0,122.90999755859376,138.0,143.0,30,61
15,00:05:05.623,00:05:05.000,1,64,23,0:05:05  ,0:05:05  ,0:04:55  ,160.34375,167.0,119.18000488281251,132.0,141.0,31,59
16,00:05:03.581,00:05:03.581,1,40,30,0:05:03  ,0:05:03  ,0:04:36  ,161.125,165.0,122.7,137.0,140.0,31,59
17,00:05:10.668,00:05:09.000,1,47,47,0:05:10  ,0:05:09  ,0:04:23  ,159.703125,167.0,122.80000000000001,137.0,144.0,30,61
18,00:05:10.800,00:05:10.000,1,35,27,0:05:10  ,0:05:10  ,0:04:34  ,161.484375,166.0,118.95,138.0,145.0,30,60
19,00:05:00.659,00:05:00.659,1,30,38,0:05:00  ,0:05:00  ,0:04:41  ,161.265625,167.0,122.50999755859375,139.0,142.0,30,58
20,00:04:51.547,00:04:51.547,1,29,47,0:04:51  ,0:04:51  ,0:04:25  ,164.140625,167.0,126.16999511718751,140.0,147.0,30,57
21,00:04:46.064,00:04:46.000,1,35,16,0:04:46  ,0:04:46  ,0:04:23  ,163.875,167.0,127.74000244140626,144.0,151.0,30,63
22,00:01:33.632,00:01:32.000,0.33,10,14,0:04:41  ,0:04:36  ,0:04:33  ,164.71875,167.0,127.7800048828125,141.0,144.0,30,18
Summary,01:47:22.867,01:47:15.186,21.33,839,775,0:05:02  ,0:05:01  ,0:04:23  ,162.421875,170.0,122.1199951171875,136.0,151.0,29.62,1291
