分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:26.129,00:01:25.000,0.4,0,0,0:03:35  ,0:03:32  ,0:03:22  ,178.0625,182.0,153.3800048828125,138.0,155.0,24,19
2,00:01:29.472,00:01:29.472,0.4,0,0,0:03:43  ,0:03:43  ,0:03:30  ,176.0625,179.0,153.8800048828125,155.0,157.0,24,23
3,00:01:26.836,00:01:26.836,0.4,0,0,0:03:37  ,0:03:37  ,0:03:32  ,178.703125,183.0,154.4199951171875,157.0,160.0,23,23
4,00:01:28.366,00:01:28.366,0.4,0,0,0:03:40  ,0:03:40  ,0:03:33  ,178.65625,181.0,154.9,162.0,164.0,23,23
5,00:01:28.078,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:25  ,178.9375,183.0,156.04000244140627,163.0,167.0,23,23
6,00:01:28.578,00:01:28.000,0.4,0,0,0:03:41  ,0:03:39  ,0:03:33  ,179.4375,182.0,154.5199951171875,164.0,167.0,23,23
7,00:01:29.214,00:01:29.214,0.4,0,0,0:03:43  ,0:03:43  ,0:03:36  ,178.875,181.0,154.06999511718752,165.0,168.0,23,24
8,00:01:27.737,00:01:27.000,0.4,0,0,0:03:39  ,0:03:37  ,0:03:29  ,179.03125,181.0,155.20000000000002,164.0,168.0,22,23
9,00:01:29.011,00:01:29.000,0.4,0,0,0:03:42  ,0:03:42  ,0:03:33  ,178.265625,181.0,155.7699951171875,166.0,168.0,22,24
10,00:01:27.934,00:01:27.934,0.4,0,0,0:03:39  ,0:03:39  ,0:03:34  ,178.5625,181.0,156.2699951171875,165.0,167.0,22,23
11,00:01:28.392,00:01:28.392,0.4,0,0,0:03:40  ,0:03:40  ,0:03:34  ,178.109375,181.0,155.09000244140626,165.0,167.0,22,24
12,00:01:28.287,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:29  ,178.765625,182.0,156.94000244140625,165.0,168.0,22,23
13,00:01:28.308,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:33  ,178.765625,180.0,155.90999755859377,166.0,168.0,22,23
14,00:01:28.009,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:29  ,178.4375,180.0,156.5300048828125,166.0,168.0,22,23
15,00:01:29.478,00:01:29.478,0.4,0,0,0:03:43  ,0:03:43  ,0:03:28  ,178.203125,183.0,155.44000244140625,167.0,169.0,22,24
16,00:01:28.389,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:34  ,178.109375,180.0,156.1699951171875,165.0,168.0,22,23
17,00:01:29.060,00:01:29.000,0.4,0,0,0:03:42  ,0:03:42  ,0:03:33  ,178.703125,180.0,156.56999511718752,166.0,168.0,22,24
18,00:01:28.162,00:01:28.000,0.4,0,0,0:03:40  ,0:03:39  ,0:03:30  ,178.859375,182.0,154.9199951171875,167.0,168.0,22,24
19,00:01:28.742,00:01:28.742,0.4,0,0,0:03:41  ,0:03:41  ,0:03:25  ,178.1875,181.0,155.4199951171875,165.0,168.0,22,24
20,00:01:27.819,00:01:27.819,0.4,0,0,0:03:39  ,0:03:39  ,0:03:30  ,178.453125,180.0,158.5300048828125,167.0,171.0,22,23
21,00:01:31.889,00:01:31.889,0.4,0,0,0:03:49  ,0:03:49  ,0:03:33  ,175.65625,177.0,152.3699951171875,165.0,168.0,22,24
22,00:01:31.063,00:01:31.000,0.4,0,0,0:03:47  ,0:03:47  ,0:03:36  ,174.5,176.0,154.44000244140625,165.0,167.0,22,24
23,00:01:31.983,00:01:31.983,0.4,0,0,0:03:49  ,0:03:49  ,0:03:40  ,174.03125,176.0,152.6699951171875,166.0,168.0,22,24
24,00:01:32.626,00:01:32.000,0.4,0,0,0:03:51  ,0:03:50  ,0:03:42  ,173.5625,176.0,152.9,166.0,169.0,22,24
25,00:01:31.484,00:01:31.000,0.4,0,0,0:03:47  ,0:03:47  ,0:03:28  ,175.09375,178.0,154.24000244140626,166.0,169.0,22,24
Summary,00:37:05.046,00:37:00.125,10,0,0,0:03:42  ,0:03:42  ,0:03:22  ,177.65625,183.0,155.05,163.0,171.0,22.36,584
