分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:00.000,00:00:59.000,0.26,3,0,0:03:49  ,0:03:46  ,0:03:27  ,170.34375,173.0,150.0300048828125,140.0,155.0,31,13
2,00:00:30.000,00:00:30.000,0.09,0,0,0:05:24  ,0:05:33  ,0:03:46  ,160.734375,169.0,139.7699951171875,155.0,158.0,31,7
3,00:01:00.000,00:01:00.000,0.28,0,0,0:03:34  ,0:03:34  ,0:03:34  ,172.65625,175.0,152.14000244140627,158.0,162.0,31,15
4,00:00:30.000,00:00:30.000,0.09,0,0,0:05:37  ,0:05:33  ,0:03:34  ,160.328125,170.0,131.85,159.0,162.0,31,7
5,00:01:00.000,00:01:00.000,0.26,0,0,0:03:54  ,0:03:50  ,0:03:49  ,168.46875,172.0,145.80999755859375,157.0,162.0,30,15
6,00:00:30.000,00:00:30.000,0.08,0,0,0:05:57  ,0:06:15  ,0:03:49  ,161.03125,168.0,130.5199951171875,159.0,162.0,30,7
7,00:01:00.000,00:01:00.000,0.26,0,0,0:03:53  ,0:03:50  ,0:03:42  ,169.28125,173.0,143.85999755859376,158.0,161.0,30,15
8,00:00:30.000,00:00:30.000,0.09,0,0,0:05:22  ,0:05:33  ,0:03:41  ,162.859375,170.0,136.44000244140625,161.0,164.0,30,8
9,00:01:00.000,00:01:00.000,0.27,0,0,0:03:40  ,0:03:42  ,0:03:39  ,172.640625,175.0,149.34000244140626,162.0,165.0,30,16
10,00:00:30.000,00:00:30.000,0.09,0,0,0:05:51  ,0:05:33  ,0:03:39  ,162.40625,172.0,138.83000488281252,160.0,163.0,30,8
11,00:01:00.000,00:01:00.000,0.27,0,0,0:03:41  ,0:03:42  ,0:03:34  ,170.890625,174.0,147.60999755859376,162.0,167.0,31,16
12,00:00:30.000,00:00:30.000,0.08,0,0,0:06:28  ,0:06:15  ,0:03:39  ,160.53125,170.0,139.19000244140625,161.0,165.0,30,7
13,00:01:00.000,00:01:00.000,0.25,0,0,0:04:01  ,0:03:59  ,0:03:51  ,168.828125,171.0,139.56999511718752,160.0,164.0,31,15
14,00:00:30.000,00:00:30.000,0.09,0,0,0:05:18  ,0:05:33  ,0:03:51  ,162.171875,167.0,133.84000244140626,162.0,163.0,30,8
15,00:01:00.000,00:01:00.000,0.27,0,0,0:03:39  ,0:03:42  ,0:03:34  ,171.65625,175.0,147.50999755859377,163.0,169.0,30,16
16,00:00:30.000,00:00:30.000,0.11,0,0,0:04:45  ,0:04:32  ,0:03:33  ,165.0,173.0,150.31999511718752,166.0,168.0,30,8
17,00:01:00.000,00:01:00.000,0.27,0,0,0:03:43  ,0:03:42  ,0:03:31  ,171.0625,175.0,148.54000244140624,166.0,168.0,30,16
18,00:00:30.000,00:00:30.000,0.09,0,0,0:05:22  ,0:05:33  ,0:03:31  ,161.859375,172.0,142.99000244140626,165.0,169.0,30,8
19,00:01:00.000,00:01:00.000,0.26,0,0,0:03:52  ,0:03:50  ,0:03:44  ,169.3125,172.0,144.69000244140625,164.0,168.0,30,16
20,00:00:29.195,00:00:29.000,0.06,0,0,0:08:04  ,0:08:03  ,0:03:44  ,159.03125,167.0,129.45000000000002,163.0,168.0,30,8
Summary,00:14:59.195,00:14:58.000,3.52,3,0,0:04:15  ,0:04:15  ,0:03:27  ,167.546875,175.0,143.70999755859376,160.0,169.0,30.33,228
