分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:22:22.930,00:22:17.000,3.72,87,62,0:06:01  ,0:05:59  ,0:03:55  ,159.234375,170.0,105.5800048828125,123.0,149.0,28,239
2,00:31:20.336,00:31:20.000,5.53,121,117,0:05:40  ,0:05:40  ,0:04:34  ,159.8125,188.0,110.85000000000001,132.0,149.0,26,346
3,00:24:16.677,00:24:16.677,4.01,118,119,0:06:03  ,0:06:03  ,0:03:54  ,160.03125,166.0,104.21999511718751,128.0,147.0,27,240
Summary,01:17:59.943,01:17:53.677,13.26,326,298,0:05:53  ,0:05:52  ,0:03:54  ,159.71875,188.0,107.2699951171875,128.0,149.0,26.89,824
