分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:14:59.848,00:00:00.000,--,--,--,--,--,--,--,--,--,108.0,119.0,--,115
2,00:05:01.203,00:00:00.000,--,--,--,--,--,--,--,--,--,119.0,127.0,--,50
3,00:15:00.008,00:00:00.000,--,--,--,--,--,--,--,--,--,110.0,119.0,--,97
4,00:05:00.345,00:00:00.000,--,--,--,--,--,--,--,--,--,122.0,127.0,--,48
5,00:15:00.390,00:00:00.000,--,--,--,--,--,--,--,--,--,123.0,130.0,--,132
6,00:04:58.440,00:00:00.000,--,--,--,--,--,--,--,--,--,126.0,133.0,--,48
7,00:10:20.115,00:00:00.000,--,--,--,--,--,--,--,--,--,121.0,127.0,--,78
Summary,01:10:20.349,00:00:00.000,--,--,--,--,--,--,--,--,--,117.0,133.0,--,568
