分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:08:34.620,00:08:33.000,1.61,61,16,0:05:18  ,0:05:17  ,0:03:40  ,153.6875,163.0,118.71999511718751,118.0,139.0,29,93
2,00:04:38.167,00:04:38.000,1.01,13,8,0:04:36  ,0:04:36  ,0:04:09  ,162.375,169.0,135.44000244140625,138.0,147.0,27,63
3,00:00:14.335,00:00:14.335,0.05,1,3,0:05:01  ,0:05:01  ,0:04:45  ,158.1875,161.0,126.8300048828125,145.0,145.0,26,4
Summary,00:13:27.122,00:13:25.335,2.67,75,27,0:05:02  ,0:05:01  ,0:03:40  ,156.734375,169.0,124.7800048828125,126.0,147.0,28.26,160
