"ラップ数","タイム","累積時間","距離
m","平均ペース
分／km","勾配調整後のペース（GAP）平均
分／km","平均心拍数
bpm","最大心拍数
bpm","総上昇量
m","総下降量
m","平均パワー
W","平均W/kg","最大パワー
W","最大W/kg","平均ピッチ
spm","平均接地時間
ms","平均GCTバランス
%","平均歩幅
m","平均上下動
cm","平均上下動比
%","カロリー
C","平均気温","最高ペース
分／km","最高ピッチ
spm","移動時間","平均移動ペース
分／km","平均ステップスピードロス
cm/秒","平均ステップスピードロス率
%"
"1","1:12.7","1:12.7","400","3:02","--","131","164","0","0","425","6.88","511","8.27","177","194","--","1.83","9.2","5.0","14","19.0","2:39","190","1:11","2:58","--","--"
"2","1:16.7","2:29.4","400","3:12","--","167","169","0","0","435","7.04","466","7.54","186","195","--","1.72","9.5","5.5","21","18.0","3:02","188","1:16.7","3:12","--","--"
"3","1:15.8","3:45.3","400","3:10","--","170","171","0","0","432","6.99","446","7.22","186","194","--","1.72","9.4","5.5","21","18.0","3:04","188","1:15.8","3:10","--","--"
"4","1:15.2","5:00.4","400","3:08","--","174","182","0","0","438","7.09","447","7.23","186","194","--","1.74","9.4","5.4","21","18.0","3:01","189","1:15","3:08","--","--"
"5","1:14.6","6:15.0","400","3:06","--","184","186","0","0","444","7.18","461","7.46","186","194","--","1.76","9.4","5.3","23","17.0","2:59","188","1:14.6","3:06","--","--"
"6","1:16.7","7:31.8","400","3:12","--","179","184","0","0","437","7.07","454","7.35","185","196","--","1.75","9.6","5.5","22","17.0","3:01","186","1:16","3:10","--","--"
"7","1:19.0","8:50.7","400","3:17","--","176","181","0","0","433","7.01","453","7.33","179","201","--","1.73","10.1","5.8","23","17.0","3:08","184","1:19.0","3:17","--","--"
"8","0:38.1","9:28.8","200","3:07","--","183","184","0","0","449","7.27","492","7.96","183","198","--","1.75","9.8","5.6","11","17.0","2:55","186","0:37","3:05","--","--"
"概要","9:28.8","9:28.8","3,000","3:10","--","170","186","0","0","436","7.06","511","8.27","183","196","--","1.75","9.5","5.4","156","17.7","2:39","190","9:25.1","3:08","--","--"
