分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:17.358,00:01:17.358,0.4,0,0,0:03:13  ,0:03:13  ,0:03:06  ,182.109375,185.0,166.54000244140627,147.0,161.0,21,19
2,00:01:18.583,00:01:18.000,0.4,0,0,0:03:16  ,0:03:14  ,0:03:07  ,181.375,183.0,168.74000244140626,162.0,163.0,20,21
3,00:01:21.016,00:01:21.000,0.4,0,0,0:03:22  ,0:03:22  ,0:03:07  ,181.859375,183.0,165.96999511718752,165.0,167.0,20,22
4,00:01:18.418,00:01:18.000,0.4,0,0,0:03:16  ,0:03:14  ,0:03:07  ,182.875,184.0,167.19000244140625,166.0,168.0,20,21
5,00:01:15.124,00:01:15.124,0.4,0,0,0:03:07  ,0:03:07  ,0:02:57  ,185.359375,188.0,171.49000244140626,168.0,170.0,20,21
6,00:00:00.410,00:00:00.410,--,0,0,0:03:07  ,--,--,181.0,181.0,194.0,168.0,168.0,20,0
Summary,00:06:30.909,00:06:29.892,2,0,0,0:03:15  ,0:03:14  ,0:02:57  ,182.6875,188.0,168.0300048828125,162.0,170.0,20.2,104
