分割,時間,移動時間,距離,高度上昇,高度下降,平均速度,平均移動速度,最高速度,平均心拍,最大心拍,平均ケイデンス,最高ケイデンス,標準化パワー（NP）,平均パワー,最大パワー,平均気温,カロリー
1,00:15:24.061,00:13:53.000,3.79,88,35,14.76,16.37,30.5,91.0,121.0,--,--,--,--,--,28,75
Summary,00:15:24.061,00:13:53.000,3.79,88,35,14.76,16.37,30.5,91.0,121.0,--,--,--,--,--,28,75
