"","インターバル","ステップタイプ","ラップ","タイム","累積時間","距離","平均ペース","平均心拍数","最大心拍数","平均ピッチ","平均接地時間","平均GCTバランス","平均歩幅","平均上下動","平均上下動比","Normalized Power® (NP®)","平均パワー","平均W/kg","最大パワー","最大W/kg","カロリー","最高ペース","最高ピッチ","移動時間","平均移動ペース"
"","1","ラン","1","3:35","3:35","0.94","3:49","152","164","178","193","左 50.4%／右 49.6%","1.47","10.4","7.0","348","348","5.63","402","6.50","50","3:32","188","3:33","3:47"
"","","回復","2","0:30","4:05","0.01","39:47","157","164","37","220","左 51.7%／右 48.3%","1.50","8.7","5.7","267","45","0.73","357","5.78","8","3:48","181","0:07","9:17"
"","2","ラン","3","3:35","7:40","0.96","3:44","162","170","179","193","左 50.9%／右 49.1%","1.50","10.1","6.7","347","355","5.74","392","6.34","55","3:30","190","3:34","3:43"
"","","回復","4","0:30","8:10","0.01","38:19","160","168","36","188","左 49.8%／右 50.2%","1.79","12.8","7.1","262","55","0.89","338","5.47","8","3:49","175","0:08","10:13"
"","3","ラン","5","3:35","11:45","0.97","3:43","166","172","180","192","左 50.8%／右 49.2%","1.51","10.0","6.6","345","354","5.73","395","6.39","56","3:29","182","3:34","3:42"
"","","回復","6","0:30","12:15","0.01","43:04","165","171","29","206","左 51.2%／右 48.8%","1.65","11.1","6.6","269","43","0.70","355","5.74","8","3:40","178","0:05","7:11"
"","4","ラン","7","3:35","15:50","0.93","3:52","166","172","176","194","左 50.0%／右 50.0%","1.47","10.3","6.9","336","343","5.55","384","6.21","57","3:33","184","3:33","3:50"
"","","回復","8","0:30","16:20","0.01","48:35","162","170","25","233","左 50.2%／右 49.8%","1.64","7.3","4.4","255","31","0.50","333","5.39","8","3:58","199","0:04","6:29"
"","概要","--","--","16:21","16:21","3.84","4:16","161","172","160","193","左 50.5%／右 49.5%","1.49","10.2","6.8","337","312","5.05","402","6.50","249","3:29","199","14:43","3:50"
