分割,時間,移動時間,距離,高度上昇,高度下降,平均ペース,平均移動ペース,最高ペース,平均ピッチ,最高ピッチ,平均歩幅,平均心拍,最大心拍,平均気温,カロリー
1,00:01:19.598,00:01:19.000,0.39,5,0,0:03:22  ,0:03:22  ,0:03:15  ,172.21875,179.0,163.05999755859375,146.0,159.0,25,19
2,00:01:22.209,00:01:22.000,0.4,0,0,0:03:27  ,0:03:25  ,0:03:26  ,175.578125,178.0,163.85000000000002,160.0,162.0,25,22
3,00:00:42.144,00:00:42.000,0.21,0,0,0:03:19  ,0:03:20  ,0:03:24  ,174.6875,176.0,165.14000244140627,163.0,164.0,25,11
4,00:01:06.635,00:01:06.635,0.19,0,0,0:05:46  ,0:05:50  ,0:03:24  ,159.5,175.0,109.93000488281251,157.0,165.0,25,17
5,00:01:23.276,00:01:23.000,0.4,0,0,0:03:28  ,0:03:27  ,0:03:21  ,173.59375,176.0,152.60999755859376,160.0,165.0,25,22
6,00:01:21.699,00:01:21.699,0.4,0,0,0:03:24  ,0:03:24  ,0:03:15  ,176.09375,179.0,168.81999511718752,167.0,168.0,25,23
7,00:00:40.142,00:00:40.000,0.2,0,0,0:03:15  ,0:03:20  ,0:03:12  ,177.03125,179.0,172.60000000000002,168.0,169.0,25,11
8,00:01:08.970,00:01:08.970,0.19,0,0,0:06:00  ,0:06:03  ,0:03:15  ,160.171875,179.0,111.93000488281251,161.0,168.0,24,18
9,00:01:23.366,00:01:23.000,0.4,0,0,0:03:29  ,0:03:27  ,0:02:53  ,173.609375,176.0,176.0300048828125,163.0,168.0,24,22
10,00:01:22.119,00:01:22.000,0.4,0,0,0:03:25  ,0:03:25  ,0:02:52  ,175.359375,177.0,178.70000000000002,169.0,171.0,24,23
11,00:00:39.813,00:00:39.813,0.21,0,0,0:03:08  ,0:03:09  ,0:03:03  ,176.703125,179.0,174.00999755859377,170.0,171.0,24,11
Summary,00:12:29.971,00:12:28.117,3.39,5,0,0:03:41  ,0:03:40  ,0:02:52  ,172.0625,179.0,157.5199951171875,161.0,171.0,24.63,198
